,count,datetime,val1,val2,val3,val4
276,第277回,1997年7月25日,0,9,9,9
277,第278回,1997年7月29日,9,3,0,3
278,第279回,1997年8月1日,0,1,7,8
279,第280回,1997年8月5日,2,9,3,7
280,第281回,1997年8月8日,4,8,3,4
281,第282回,1997年8月12日,8,8,8,2
282,第283回,1997年8月15日,8,1,0,6
283,第284回,1997年8月19日,5,0,8,6
284,第285回,1997年8月22日,0,2,9,5
285,第286回,1997年8月26日,6,6,7,0
286,第287回,1997年8月29日,1,6,8,9
287,第288回,1997年9月2日,2,8,6,7
288,第289回,1997年9月5日,6,2,5,4
289,第290回,1997年9月9日,2,9,9,0
290,第291回,1997年9月12日,7,2,6,4
291,第292回,1997年9月16日,3,0,0,9
292,第293回,1997年9月19日,8,2,8,9
293,第294回,1997年9月23日,8,5,1,6
294,第295回,1997年9月26日,2,8,1,4
295,第296回,1997年9月30日,6,8,0,9
296,第297回,1997年10月3日,9,0,4,1
297,第298回,1997年10月6日,9,4,7,2
298,第299回,1997年10月8日,2,5,6,5
299,第300回,1997年10月10日,1,1,1,6
300,第301回,1997年10月13日,7,5,5,4
301,第302回,1997年10月15日,5,0,4,9
302,第303回,1997年10月17日,5,0,9,0
303,第304回,1997年10月20日,6,4,4,4
304,第305回,1997年10月22日,7,2,2,7
305,第306回,1997年10月24日,6,2,7,9
306,第307回,1997年10月27日,4,0,1,4
307,第308回,1997年10月29日,1,8,7,9
308,第309回,1997年10月31日,6,4,1,8
309,第310回,1997年11月3日,7,2,1,5
310,第311回,1997年11月5日,8,4,6,6
311,第312回,1997年11月7日,2,7,9,6
312,第313回,1997年11月10日,4,8,2,1
313,第314回,1997年11月12日,5,1,1,8
314,第315回,1997年11月14日,9,9,8,9
315,第316回,1997年11月17日,0,5,3,5
316,第317回,1997年11月19日,1,6,5,0
317,第318回,1997年11月21日,3,6,1,4
318,第319回,1997年11月24日,7,3,1,2
319,第320回,1997年11月26日,0,5,5,2
320,第321回,1997年11月28日,5,9,1,3
321,第322回,1997年12月1日,7,1,7,8
322,第323回,1997年12月3日,7,5,9,2
323,第324回,1997年12月5日,0,3,5,4
324,第325回,1997年12月8日,1,0,3,5
325,第326回,1997年12月10日,9,7,5,9
326,第327回,1997年12月12日,1,6,6,2
327,第328回,1997年12月15日,2,9,1,9
328,第329回,1997年12月17日,3,7,0,1
329,第330回,1997年12月19日,7,4,9,9
330,第331回,1997年12月22日,2,0,5,5
331,第332回,1997年12月24日,6,4,6,0
332,第333回,1997年12月26日,2,0,4,2
333,第334回,1997年12月29日,3,7,7,6
334,第335回,1998年1月5日,9,7,5,0
335,第336回,1998年1月7日,6,5,5,7
336,第337回,1998年1月9日,5,0,0,9
337,第338回,1998年1月12日,5,5,6,0
338,第339回,1998年1月14日,6,9,8,9
339,第340回,1998年1月16日,1,5,7,4
340,第341回,1998年1月19日,3,8,7,8
341,第342回,1998年1月21日,9,2,9,5
342,第343回,1998年1月23日,3,7,4,8
343,第344回,1998年1月26日,2,7,8,9
344,第345回,1998年1月28日,9,8,6,0
345,第346回,1998年1月30日,4,4,8,3
346,第347回,1998年2月2日,6,6,0,3
347,第348回,1998年2月4日,3,5,3,1
348,第349回,1998年2月6日,6,1,1,0
349,第350回,1998年2月9日,4,6,5,2
350,第351回,1998年2月11日,0,6,0,9
351,第352回,1998年2月13日,2,1,3,4
352,第353回,1998年2月16日,8,5,8,6
353,第354回,1998年2月18日,6,4,9,9
354,第355回,1998年2月20日,1,3,4,8
355,第356回,1998年2月23日,5,0,7,5
356,第357回,1998年2月25日,6,8,7,6
357,第358回,1998年2月27日,1,4,2,6
358,第359回,1998年3月2日,9,0,7,2
359,第360回,1998年3月4日,5,5,7,4
360,第361回,1998年3月6日,3,7,0,2
361,第362回,1998年3月9日,6,3,1,2
362,第363回,1998年3月11日,0,2,4,2
363,第364回,1998年3月13日,3,6,8,6
364,第365回,1998年3月16日,6,2,2,8
365,第366回,1998年3月18日,6,9,0,7
366,第367回,1998年3月20日,4,9,8,0
367,第368回,1998年3月23日,8,5,7,3
368,第369回,1998年3月25日,1,0,5,9
369,第370回,1998年3月27日,0,1,2,9
370,第371回,1998年3月30日,6,2,2,8
371,第372回,1998年4月1日,6,5,2,6
372,第373回,1998年4月3日,8,1,3,4
373,第374回,1998年4月6日,5,1,1,1
374,第375回,1998年4月8日,1,1,2,8
375,第376回,1998年4月10日,5,0,2,2
376,第377回,1998年4月13日,4,2,0,4
377,第378回,1998年4月15日,1,8,9,3
378,第379回,1998年4月17日,1,6,2,0
379,第380回,1998年4月20日,0,9,4,1
380,第381回,1998年4月22日,0,2,5,6
381,第382回,1998年4月24日,3,4,3,0
382,第383回,1998年4月27日,2,0,4,2
383,第384回,1998年4月29日,8,4,3,3
384,第385回,1998年5月1日,0,0,3,4
385,第386回,1998年5月4日,6,5,6,0
386,第387回,1998年5月6日,8,3,0,1
387,第388回,1998年5月8日,0,1,5,4
388,第389回,1998年5月11日,5,2,0,1
389,第390回,1998年5月13日,0,3,0,7
390,第391回,1998年5月15日,8,3,6,9
391,第392回,1998年5月18日,3,7,7,9
392,第393回,1998年5月20日,2,9,5,7
393,第394回,1998年5月22日,9,6,2,6
394,第395回,1998年5月25日,3,8,2,9
395,第396回,1998年5月27日,2,0,0,2
396,第397回,1998年5月29日,9,3,4,8
397,第398回,1998年6月1日,7,1,4,3
398,第399回,1998年6月3日,0,8,8,4
399,第400回,1998年6月5日,6,9,8,0
400,第401回,1998年6月8日,2,9,9,7
401,第402回,1998年6月10日,9,5,7,0
402,第403回,1998年6月12日,6,7,3,9
403,第404回,1998年6月15日,9,3,3,2
404,第405回,1998年6月17日,3,3,3,7
405,第406回,1998年6月19日,9,6,9,8
406,第407回,1998年6月22日,6,7,0,0
407,第408回,1998年6月24日,9,4,7,7
408,第409回,1998年6月26日,0,4,2,2
409,第410回,1998年6月29日,5,3,5,2
410,第411回,1998年7月1日,6,8,9,1
411,第412回,1998年7月3日,9,9,9,5
412,第413回,1998年7月6日,3,7,8,6
413,第414回,1998年7月8日,2,1,5,4
414,第415回,1998年7月10日,3,3,5,4
415,第416回,1998年7月13日,4,1,2,3
416,第417回,1998年7月15日,8,8,4,0
417,第418回,1998年7月17日,4,6,3,7
418,第419回,1998年7月20日,9,0,0,2
419,第420回,1998年7月22日,6,2,3,7
420,第421回,1998年7月24日,9,0,8,8
421,第422回,1998年7月27日,9,6,8,3
422,第423回,1998年7月29日,3,1,4,9
423,第424回,1998年7月31日,8,9,9,1
424,第425回,1998年8月3日,3,9,1,4
425,第426回,1998年8月5日,8,5,5,0
426,第427回,1998年8月7日,4,5,2,1
427,第428回,1998年8月10日,9,2,3,0
428,第429回,1998年8月12日,4,5,3,2
429,第430回,1998年8月14日,4,7,3,1
430,第431回,1998年8月17日,9,9,0,1
431,第432回,1998年8月19日,5,7,7,6
432,第433回,1998年8月21日,9,2,0,0
433,第434回,1998年8月24日,4,2,8,8
434,第435回,1998年8月26日,5,6,5,4
435,第436回,1998年8月28日,9,9,4,5
436,第437回,1998年8月31日,5,7,1,1
437,第438回,1998年9月2日,5,4,7,3
438,第439回,1998年9月4日,1,5,8,0
439,第440回,1998年9月7日,2,5,4,8
440,第441回,1998年9月9日,5,3,0,9
441,第442回,1998年9月11日,6,4,3,1
442,第443回,1998年9月14日,3,1,5,1
443,第444回,1998年9月16日,9,9,2,2
444,第445回,1998年9月18日,9,6,5,7
445,第446回,1998年9月21日,4,5,9,0
446,第447回,1998年9月23日,0,1,2,1
447,第448回,1998年9月25日,4,3,5,6
448,第449回,1998年9月28日,7,3,4,1
449,第450回,1998年9月30日,1,9,8,3
450,第451回,1998年10月2日,1,2,2,4
451,第452回,1998年10月5日,1,9,5,0
452,第453回,1998年10月7日,2,7,5,0
453,第454回,1998年10月9日,5,3,5,7
454,第455回,1998年10月12日,0,0,9,3
455,第456回,1998年10月14日,6,7,1,9
456,第457回,1998年10月16日,7,8,9,3
457,第458回,1998年10月19日,0,9,1,2
458,第459回,1998年10月21日,7,2,2,8
459,第460回,1998年10月23日,5,9,6,3
460,第461回,1998年10月26日,9,8,3,7
461,第462回,1998年10月28日,8,9,5,5
462,第463回,1998年10月30日,5,9,0,5
463,第464回,1998年11月2日,6,5,3,4
464,第465回,1998年11月4日,6,9,3,3
465,第466回,1998年11月6日,6,0,8,1
466,第467回,1998年11月9日,3,0,8,3
467,第468回,1998年11月11日,8,3,1,9
468,第469回,1998年11月13日,0,0,5,1
469,第470回,1998年11月16日,9,2,7,4
470,第471回,1998年11月18日,1,7,8,2
471,第472回,1998年11月20日,4,0,7,0
472,第473回,1998年11月23日,8,5,7,1
473,第474回,1998年11月25日,0,9,4,1
474,第475回,1998年11月27日,0,1,6,1
475,第476回,1998年11月30日,7,4,6,6
476,第477回,1998年12月2日,9,6,9,9
477,第478回,1998年12月4日,6,7,6,8
478,第479回,1998年12月7日,7,7,8,8
479,第480回,1998年12月9日,5,6,6,9
480,第481回,1998年12月11日,2,9,5,2
481,第482回,1998年12月14日,5,9,0,2
482,第483回,1998年12月16日,7,3,1,6
483,第484回,1998年12月18日,0,1,8,9
484,第485回,1998年12月21日,6,8,3,5
485,第486回,1998年12月23日,9,1,6,8
486,第487回,1998年12月25日,6,2,3,1
487,第488回,1998年12月28日,3,3,0,7
488,第489回,1998年12月30日,9,8,8,8
489,第490回,1999年1月4日,7,5,0,9
490,第491回,1999年1月6日,0,0,3,1
491,第492回,1999年1月8日,2,5,9,6
492,第493回,1999年1月11日,5,4,9,4
493,第494回,1999年1月13日,1,5,6,4
494,第495回,1999年1月15日,0,4,1,5
495,第496回,1999年1月18日,9,5,4,1
496,第497回,1999年1月20日,5,2,2,7
497,第498回,1999年1月22日,5,2,1,2
498,第499回,1999年1月25日,9,2,3,6
499,第500回,1999年1月27日,4,5,7,9
500,第501回,1999年1月29日,3,0,7,0
501,第502回,1999年2月1日,5,9,6,7
502,第503回,1999年2月3日,4,1,9,7
503,第504回,1999年2月5日,7,3,8,2
504,第505回,1999年2月8日,6,7,7,9
505,第506回,1999年2月10日,5,2,4,6
506,第507回,1999年2月12日,3,1,7,5
507,第508回,1999年2月15日,0,9,0,7
508,第509回,1999年2月17日,0,9,6,5
509,第510回,1999年2月19日,5,9,4,0
510,第511回,1999年2月22日,1,2,5,8
511,第512回,1999年2月24日,0,9,9,8
512,第513回,1999年2月26日,0,0,6,9
513,第514回,1999年3月1日,9,0,3,6
514,第515回,1999年3月3日,0,8,7,1
515,第516回,1999年3月5日,3,4,2,1
516,第517回,1999年3月8日,7,3,6,2
517,第518回,1999年3月10日,2,6,6,4
518,第519回,1999年3月12日,8,9,1,0
519,第520回,1999年3月15日,8,2,2,5
520,第521回,1999年3月17日,8,2,4,2
521,第522回,1999年3月19日,9,6,7,7
522,第523回,1999年3月22日,4,7,6,1
523,第524回,1999年3月24日,4,0,5,6
524,第525回,1999年3月26日,3,8,0,7
525,第526回,1999年3月29日,7,3,3,3
526,第527回,1999年3月31日,8,9,6,6
527,第528回,1999年4月2日,6,5,6,4
528,第529回,1999年4月5日,2,6,4,4
529,第530回,1999年4月7日,2,7,0,9
530,第531回,1999年4月9日,4,1,3,9
531,第532回,1999年4月12日,9,7,9,0
532,第533回,1999年4月14日,9,6,6,9
533,第534回,1999年4月16日,0,7,7,1
534,第535回,1999年4月19日,9,5,6,8
535,第536回,1999年4月21日,5,9,5,0
536,第537回,1999年4月23日,8,6,2,2
537,第538回,1999年4月26日,5,2,2,5
538,第539回,1999年4月28日,9,7,7,8
539,第540回,1999年4月30日,8,9,6,6
540,第541回,1999年5月3日,2,7,8,7
541,第542回,1999年5月5日,5,8,2,4
542,第543回,1999年5月7日,6,4,8,9
543,第544回,1999年5月10日,6,8,6,5
544,第545回,1999年5月12日,2,2,5,3
545,第546回,1999年5月14日,3,0,5,3
546,第547回,1999年5月17日,7,6,2,3
547,第548回,1999年5月19日,9,0,9,0
548,第549回,1999年5月21日,1,0,9,4
549,第550回,1999年5月24日,9,0,3,3
550,第551回,1999年5月26日,5,6,2,3
551,第552回,1999年5月28日,9,8,0,6
552,第553回,1999年5月31日,2,8,0,9
553,第554回,1999年6月2日,7,7,3,1
554,第555回,1999年6月4日,9,8,8,8
555,第556回,1999年6月7日,8,9,4,5
556,第557回,1999年6月9日,6,9,9,1
557,第558回,1999年6月11日,7,7,8,7
558,第559回,1999年6月14日,7,6,7,1
559,第560回,1999年6月16日,6,0,5,4
560,第561回,1999年6月18日,0,5,2,4
561,第562回,1999年6月21日,7,7,6,4
562,第563回,1999年6月23日,3,3,8,9
563,第564回,1999年6月25日,8,7,2,2
564,第565回,1999年6月28日,7,9,3,6
565,第566回,1999年6月30日,0,3,1,3
566,第567回,1999年7月2日,5,2,3,6
567,第568回,1999年7月5日,5,5,1,9
568,第569回,1999年7月7日,9,0,0,9
569,第570回,1999年7月9日,5,7,0,0
570,第571回,1999年7月12日,3,2,3,7
571,第572回,1999年7月14日,2,1,8,3
572,第573回,1999年7月16日,0,7,4,5
573,第574回,1999年7月19日,5,9,1,0
574,第575回,1999年7月21日,8,0,9,3
575,第576回,1999年7月23日,2,1,5,3
576,第577回,1999年7月26日,9,4,6,1
577,第578回,1999年7月28日,9,7,4,9
578,第579回,1999年7月30日,3,5,5,6
579,第580回,1999年8月2日,6,5,3,1
580,第581回,1999年8月4日,9,8,6,3
581,第582回,1999年8月6日,7,6,8,5
582,第583回,1999年8月9日,9,9,1,9
583,第584回,1999年8月11日,3,4,2,3
584,第585回,1999年8月13日,7,0,4,1
585,第586回,1999年8月16日,7,2,7,2
586,第587回,1999年8月18日,8,2,0,0
587,第588回,1999年8月20日,0,3,0,5
588,第589回,1999年8月23日,1,2,5,9
589,第590回,1999年8月25日,1,0,6,9
590,第591回,1999年8月27日,3,3,0,8
591,第592回,1999年8月30日,3,3,8,7
592,第593回,1999年9月1日,3,5,7,6
593,第594回,1999年9月3日,1,0,5,0
594,第595回,1999年9月6日,0,4,5,0
595,第596回,1999年9月8日,8,2,5,1
596,第597回,1999年9月10日,8,7,7,2
597,第598回,1999年9月13日,4,6,3,2
598,第599回,1999年9月15日,7,4,3,8
599,第600回,1999年9月17日,4,8,0,2
600,第601回,1999年9月20日,5,0,6,8
601,第602回,1999年9月22日,7,9,1,5
602,第603回,1999年9月24日,4,3,4,4
603,第604回,1999年9月27日,1,6,1,5
604,第605回,1999年9月29日,8,3,8,8
605,第606回,1999年10月1日,5,3,0,7
606,第607回,1999年10月4日,1,9,9,6
607,第608回,1999年10月6日,8,1,7,3
608,第609回,1999年10月8日,4,1,0,2
609,第610回,1999年10月11日,3,1,4,1
610,第611回,1999年10月13日,8,4,8,6
611,第612回,1999年10月15日,1,1,4,8
612,第613回,1999年10月18日,8,8,8,0
613,第614回,1999年10月20日,4,2,9,3
614,第615回,1999年10月22日,1,2,7,1
615,第616回,1999年10月25日,3,4,8,7
616,第617回,1999年10月27日,7,7,3,2
617,第618回,1999年10月29日,6,1,4,2
618,第619回,1999年11月1日,6,3,1,9
619,第620回,1999年11月3日,0,5,2,4
620,第621回,1999年11月5日,4,6,9,3
621,第622回,1999年11月8日,9,3,2,1
622,第623回,1999年11月10日,6,0,2,4
623,第624回,1999年11月12日,7,7,8,6
624,第625回,1999年11月15日,7,0,5,7
625,第626回,1999年11月17日,7,4,1,4
626,第627回,1999年11月19日,4,8,4,5
627,第628回,1999年11月22日,9,8,2,5
628,第629回,1999年11月24日,4,3,6,7
629,第630回,1999年11月26日,9,8,0,5
630,第631回,1999年11月29日,7,9,2,0
631,第632回,1999年12月1日,4,1,9,6
632,第633回,1999年12月3日,9,4,3,2
633,第634回,1999年12月6日,5,0,6,5
